Energia(canal),cuentas
1,130 
2,147 
3,168 
4,172 
5,145 
6,146 
7,175 
8,164
9,175 
10,180 
11,173 
12,185 
13,160 
14,189 
15,200 
16,198
17,218 
18,194 
19,198 
20,219 
21,198 
22,200 
23,197 
24,193
25,219 
26,203 
27,220 
28,188 
29,252 
30,209 
31,254 
32,230
33,220 
34,219 
35,241 
36,229 
37,245 
38,235 
39,261 
40,254
41,268 
42,247 
43,262 
44,244 
45,258 
46,235 
47,251 
48,261
49,257 
50,262 
51,277 
52,313 
53,285 
54,278 
55,308 
56,299
57,283 
58,306 
59,287 
60,276 
61,267 
62,278 
63,298 
64,287
65,324 
66,283 
67,325 
68,280 
69,291 
70,316 
71,316 
72,308
73,332 
74,313 
75,344 
76,330 
77,343 
78,322 
79,302 
80,313
81,313 
82,324 
83,300 
84,303 
85,310 
86,308 
87,338 
88,332
89,312 
90,361 
91,344 
92,357 
93,312 
94,327 
95,332 
96,336
97,332 
98,321 
99,371 
100,390 
101,322 
102,373 
103,378 
104,434
105,417 
106,397 
107,432 
108,431 
109,445 
110,477 
111,441 
112,452
113,473 
114,481 
115,463 
116,423 
117,462 
118,439 
119,481 
120,454
121,486 
122,436 
123,497 
124,451 
125,486 
126,484 
127,476 
128,500
129,475 
130,475 
131,484 
132,482 
133,504 
134,490 
135,508 
136,510
137,456 
138,489 
139,481 
140,479 
141,488 
142,480 
143,494 
144,506
145,478 
146,505 
147,525 
148,499 
149,525 
150,522 
151,514 
152,516
153,522 
154,513 
155,536 
156,567 
157,521 
158,553 
159,514 
160,540
161,571 
162,539 
163,553 
164,546 
165,567 
166,595 
167,604 
168,583
169,593 
170,538 
171,584 
172,534 
173,537 
174,579 
175,619 
176,563
177,597 
178,602 
179,622 
180,624 
181,629 
182,667 
183,609 
184,613
185,548 
186,596 
187,571 
188,578 
189,523 
190,550 
191,528 
192,480
193,476 
194,451 
195,409 
196,438 
197,413 
198,405 
199,383 
200,355
201,355 
202,329 
203,339 
204,321 
205,335 
206,299 
207,280 
208,304
209,307 
210,288 
211,292 
212,261 
213,260 
214,291 
215,279 
216,258
217,258 
218,285 
219,265 
220,257 
221,255 
222,248 
223,224 
224,242
225,253 
226,234 
227,220 
228,210 
229,216 
230,234 
231,218 
232,225
233,243 
234,238 
235,220 
236,243 
237,215 
238,215 
239,243 
240,217
241,227 
242,232 
243,230 
244,251 
245,229 
246,228 
247,227 
248,260
249,243 
250,268 
251,238 
252,234 
253,235 
254,237 
255,246 
256,257
257,209 
258,259 
259,245 
260,242 
261,295 
262,277 
263,292 
264,340
265,359 
266,403 
267,441 
268,506 
269,681 
270,800 
271,891 
272, 1018
273, 1288 
274, 1507 
275, 1843 
276, 2038 
277, 2406 
278, 2734 
279, 3295 
280, 3748
281, 4388 
282, 4880 
283, 5590 
284, 6175 
285, 6898 
286, 7453 
287, 7907 
288, 8718
289, 9412 
290,10051 
291,10819 
292,11105 
293,11583 
294,11730 
295,11944 
296,12004
297,11610 
298,11359 
299,10902 
300,10354 
301, 9722 
302, 9114 
303, 8238 
304, 7397
305, 6608 
306, 5831 
307, 4959 
308, 4390 
309, 3834 
310, 3263 
311, 2611 
312, 2260
313, 1867 
