E,I
-12.20,0
-11.34,0
-10.49,0
-9.63,0
-8.78,0
-7.92,0
-7.07,0
-6.21,0
-5.36,0
-4.50,0
-3.65,0
-2.79,3521
-1.94,507
-1.08,180
-0.23,175
0.62,185
1.48,180
2.34,193
3.19,196
4.05,177
4.90,182
5.75,169
6.61,181
7.46,184
8.32,191
9.18,167
10.03,183
10.89,210
11.74,213
12.59,196
13.45,193
14.30,224
15.16,208
16.02,212
16.87,204
17.73,247
18.58,232
19.43,201
20.29,237
21.14,227
22.00,225
22.86,267
23.71,269
24.57,258
25.42,310
26.28,327
27.13,324
27.99,367
28.84,365
29.69,402
30.55,409
31.40,486
32.26,472
33.11,461
33.97,444
34.83,465
35.68,426
36.53,448
37.39,401
38.25,379
39.10,381
39.95,356
40.81,398
41.67,383
42.52,380
43.38,383
44.23,411
45.08,422
45.94,466
46.80,474
47.65,481
48.50,493
49.36,505
50.22,509
51.07,583
51.92,589
52.78,592
53.63,578
54.49,631
55.34,659
56.20,623
57.05,624
57.91,724
58.77,763
59.62,705
60.47,753
61.33,820
62.19,812
63.04,844
63.89,877
64.75,880
65.60,938
66.46,1026
67.31,1045
68.17,957
69.02,1032
69.88,1060
70.73,1054
71.59,1090
72.44,1148
73.30,1113
74.16,1127
75.01,1109
75.86,1203
76.72,1208
77.57,1246
78.43,1289
79.28,1247
80.14,1303
80.99,1324
81.85,1336
82.70,1339
83.56,1361
84.41,1309
85.27,1285
86.12,1376
86.98,1330
87.83,1286
88.69,1273
89.55,1320
90.40,1296
91.25,1251
92.11,1267
92.96,1355
93.82,1313
94.67,1306
95.53,1310
96.38,1203
97.24,1289
98.09,1281
98.95,1264
99.80,1300
100.66,1261
101.52,1213
102.37,1252
103.22,1225
104.08,1169
104.93,1181
105.79,1176
106.64,1180
107.50,1204
108.35,1216
109.21,1227
110.06,1195
110.92,1207
111.77,1151
112.63,1111
113.48,1105
114.34,1202
115.19,1159
116.05,1168
116.90,1115
117.76,1131
118.61,1099
119.47,1153
120.33,1112
121.18,1099
122.03,1106
122.89,1046
123.74,1096
124.60,1096
125.45,1110
126.31,1087
127.17,1072
128.02,1113
128.88,1059
129.73,1031
130.59,974
131.44,998
132.30,1045
133.15,1028
134.00,1025
134.86,958
135.72,995
136.57,1006
137.43,1006
138.28,1045
139.14,1004
139.99,978
140.84,968
141.70,1012
142.56,985
143.41,982
144.27,922
145.12,876
145.97,938
146.83,879
147.69,918
148.54,921
149.40,903
150.25,934
151.11,911
151.96,854
152.81,842
153.67,856
154.53,917
155.38,819
156.24,806
157.09,830
157.95,892
158.80,772
159.66,807
160.51,775
161.37,799
162.22,808
163.08,829
163.93,774
164.78,786
165.64,768
166.50,747
167.35,770
168.21,745
169.06,761
169.92,746
170.77,795
171.62,727
172.48,744
173.34,737
174.19,777
175.05,710
175.90,691
176.75,745
177.61,728
178.47,698
179.32,746
180.18,706
181.03,699
181.89,708
182.74,683
183.59,690
184.45,652
185.31,658
186.16,702
187.02,698
187.87,660
188.72,699
189.58,636
190.44,644
191.29,643
192.15,657
193.00,647
193.86,662
194.71,715
195.56,619
196.42,637
197.28,659
198.13,632
198.99,615
199.84,603
200.69,594
201.55,604
202.41,617
203.26,621
204.12,595
204.97,604
205.83,612
206.68,574
207.53,591
208.39,575
209.25,559
210.10,561
210.96,569
211.81,562
212.67,511
213.52,564
214.38,568
215.23,571
216.09,568
216.94,533
217.80,532
218.65,559
219.50,538
220.36,496
221.22,499
222.07,540
222.93,507
223.78,559
224.64,514
225.49,496
226.34,523
227.20,492
228.06,504
228.91,505
229.77,516
230.62,516
231.47,521
232.33,561
233.19,506
234.04,465
234.90,511
235.75,544
236.61,518
237.46,512
238.31,471
239.17,552
240.03,510
240.88,494
241.74,543
242.59,523
243.44,515
244.30,498
245.16,520
246.01,541
246.87,553
247.72,534
248.57,544
249.43,523
250.29,497
251.14,486
252.00,512
252.85,477
253.70,452
254.56,467
255.42,498
256.27,452
257.12,482
257.98,452
258.83,479
259.69,445
260.55,427
261.40,438
262.25,419
263.11,415
263.97,397
264.82,385
265.68,425
266.53,389
267.38,389
268.24,426
269.10,351
269.95,396
270.81,345
271.66,385
272.51,371
273.37,360
274.23,369
275.08,353
275.94,331
276.79,347
277.64,349
278.50,326
279.36,328
280.21,351
281.06,348
281.92,343
282.77,369
283.63,364
284.49,316
285.34,307
286.19,341
287.05,323
287.91,323
288.76,302
289.62,327
290.47,330
291.32,311
292.18,313
293.04,334
293.89,346
294.75,318
295.60,335
296.45,302
297.31,296
298.17,314
299.02,334
299.88,319
300.73,324
301.58,292
302.44,342
303.30,306
304.15,329
305.00,280
305.86,311
306.72,334
307.57,282
308.43,308
309.28,286
310.13,299
310.99,303
311.85,291
312.70,298
313.56,303
314.41,297
315.26,267
316.12,276
316.98,279
317.83,302
318.69,294
319.54,288
320.39,276
321.25,252
322.11,273
322.96,266
323.81,293
324.67,243
325.52,270
326.38,292
327.24,253
328.09,252
328.94,264
329.80,265
330.66,241
331.51,264
332.37,257
333.22,277
334.07,277
334.93,250
335.79,235
336.64,274
337.50,261
338.35,254
339.20,268
340.06,224
340.92,247
341.77,266
342.62,229
343.48,278
344.33,263
345.19,264
346.05,272
346.90,242
347.75,241
348.61,268
349.47,256
350.32,267
351.18,256
352.03,230
352.88,266
353.74,241
354.60,274
355.45,232
356.31,241
357.16,267
358.01,248
358.87,280
359.73,255
360.58,276
361.44,267
362.29,251
363.14,214
364.00,247
364.86,234
365.71,239
366.56,252
367.42,217
368.27,234
369.13,245
369.99,225
370.84,225
371.69,243
372.55,226
373.41,212
374.26,216
375.12,208
375.97,225
376.82,228
377.68,227
378.54,207
379.39,209
380.25,208
381.10,196
381.95,242
382.81,196
383.67,226
384.52,180
385.38,187
386.23,187
387.08,213
387.94,196
388.80,192
389.65,180
390.50,186
391.36,203
392.21,177
393.07,191
393.93,176
394.78,197
395.63,196
396.49,173
397.35,193
398.20,170
399.06,194
399.91,170
400.76,184
401.62,180
402.48,168
403.33,177
404.19,168
405.04,203
405.89,141
406.75,176
407.61,152
408.46,176
409.31,167
410.17,170
411.02,163
411.88,170
412.74,196
413.59,172
414.44,164
415.30,170
416.16,153
417.01,167
417.87,148
418.72,179
419.57,173
420.43,157
421.29,174
422.14,151
423.00,182
423.85,158
424.70,181
425.56,147
426.42,191
427.27,171
428.12,171
428.98,164
429.83,150
430.69,178
431.55,156
432.40,148
433.25,154
434.11,155
434.96,136
435.82,141
436.68,144
437.53,146
438.38,172
439.24,134
440.10,152
440.95,152
441.81,152
442.66,150
443.51,153
444.37,147
445.23,173
446.08,161
446.94,172
447.79,170
448.64,166
449.50,163
450.36,145
451.21,162
452.06,126
452.92,152
453.77,151
454.63,133
455.49,142
456.34,159
457.19,138
458.05,155
458.91,132
459.76,141
460.62,128
461.47,150
462.32,173
463.18,151
464.04,140
464.89,145
465.75,122
466.60,144
467.45,144
468.31,143
469.17,137
470.02,137
470.88,150
471.73,125
472.58,131
473.44,122
474.30,132
475.15,130
476.00,125
476.86,139
477.71,141
478.57,134
479.43,114
480.28,118
481.13,144
481.99,127
482.85,135
483.70,138
484.56,130
485.41,110
486.26,125
487.12,114
487.98,115
488.83,123
489.69,109
490.54,129
491.39,100
492.25,124
493.11,141
493.96,95
494.81,109
495.67,112
496.52,94
497.38,130
498.24,117
499.09,104
499.94,119
500.80,124
501.66,115
502.51,139
503.36,118
504.22,128
505.07,108
505.93,116
506.79,116
507.64,128
508.49,88
509.35,119
510.20,102
511.06,121
511.92,99
512.77,100
513.62,109
514.48,99
515.33,91
516.19,105
517.04,120
517.90,91
518.75,116
519.61,120
520.46,117
521.32,123
522.17,119
523.03,107
523.88,116
524.74,101
525.59,99
526.45,119
527.30,111
528.16,109
529.01,116
529.87,97
530.72,110
531.58,97
532.43,83
533.29,85
534.14,113
535.00,90
535.85,115
536.71,102
537.56,95
538.42,114
539.27,109
540.13,99
540.98,95
541.84,91
542.69,83
543.55,95
544.40,100
545.26,87
546.11,98
546.97,101
547.82,96
548.68,89
549.53,95
550.39,106
551.24,85
552.10,92
552.95,96
553.81,109
554.66,89
555.52,82
556.37,104
557.23,84
558.08,90
558.94,82
559.79,80
560.65,91
561.50,87
562.36,92
563.21,88
564.07,97
564.92,85
565.78,84
566.63,87
567.49,106
568.34,102
569.20,86
570.05,100
570.91,110
571.76,113
572.62,103
573.47,90
574.33,104
575.18,112
576.04,117
576.89,94
577.75,125
578.60,120
579.46,112
580.31,128
581.17,95
582.02,106
582.88,114
583.73,102
584.59,108
585.44,105
586.30,112
587.15,102
588.01,106
588.86,124
589.72,124
590.57,92
591.43,119
592.28,110
593.14,129
593.99,125
594.85,113
595.70,126
596.56,113
597.41,137
598.27,136
599.12,109
599.98,126
600.83,137
601.69,105
602.54,114
603.40,108
604.25,130
605.11,130
605.96,115
606.82,136
607.67,147
608.53,121
609.38,117
610.24,123
611.09,145
611.95,138
612.80,146
613.66,123
614.51,142
615.37,141
