E,I
-12.20,0
-11.34,0
-10.49,0
-9.63,0
-8.78,0
-7.92,0
-7.07,0
-6.21,0
-5.36,0
-4.50,0
-3.65,0
-2.79,0
-1.94,0
-1.08,236
-0.23,192
0.62,202
1.48,222
2.34,205
3.19,202
4.05,215
4.90,207
5.75,184
6.61,186
7.46,172
8.32,173
9.18,186
10.03,196
10.89,215
11.74,211
12.59,214
13.45,204
14.30,222
15.16,207
16.02,219
16.87,226
17.73,219
18.58,237
19.43,239
20.29,254
21.14,248
22.00,268
22.86,261
23.71,319
24.57,308
25.42,348
26.28,379
27.13,434
27.99,506
28.84,573
29.69,646
30.55,747
31.40,817
32.26,836
33.11,945
33.97,848
34.83,745
35.68,689
36.53,581
37.39,553
38.25,476
39.10,471
39.95,421
40.81,451
41.67,458
42.52,434
43.38,413
44.23,469
45.08,443
45.94,438
46.80,517
47.65,491
48.50,473
49.36,522
50.22,538
51.07,549
51.92,560
52.78,609
53.63,641
54.49,665
55.34,669
56.20,679
57.05,751
57.91,730
58.77,782
59.62,786
60.47,846
61.33,848
62.19,879
63.04,862
63.89,897
64.75,965
65.60,951
66.46,980
67.31,1019
68.17,1014
69.02,1074
69.88,1087
70.73,1116
71.59,1102
72.44,1114
73.30,1181
74.16,1213
75.01,1202
75.86,1273
76.72,1242
77.57,1288
78.43,1226
79.28,1325
80.14,1329
80.99,1362
81.85,1376
82.70,1250
83.56,1349
84.41,1366
85.27,1356
86.12,1304
86.98,1310
87.83,1320
88.69,1316
89.55,1356
90.40,1364
91.25,1249
92.11,1280
92.96,1328
93.82,1234
94.67,1275
95.53,1280
96.38,1306
97.24,1296
98.09,1284
98.95,1297
99.80,1251
100.66,1286
101.52,1283
102.37,1212
103.22,1265
104.08,1193
104.93,1217
105.79,1190
106.64,1168
107.50,1186
108.35,1215
109.21,1213
110.06,1142
110.92,1164
111.77,1161
112.63,1164
113.48,1163
114.34,1203
115.19,1134
116.05,1167
116.90,1120
117.76,1050
118.61,1097
119.47,1128
120.33,1120
121.18,1146
122.03,1125
122.89,1066
123.74,1088
124.60,1114
125.45,1116
126.31,1077
127.17,1060
128.02,1103
128.88,1072
129.73,1061
130.59,1046
131.44,994
132.30,979
133.15,1053
134.00,1006
134.86,1033
135.72,1024
136.57,980
137.43,999
138.28,1040
139.14,1034
139.99,1026
140.84,997
141.70,970
142.56,938
143.41,973
144.27,940
145.12,897
145.97,928
146.83,925
147.69,935
148.54,915
149.40,907
150.25,917
151.11,944
151.96,902
152.81,877
153.67,853
154.53,883
155.38,841
156.24,841
157.09,855
157.95,858
158.80,787
159.66,876
160.51,892
161.37,848
162.22,837
163.08,844
163.93,795
164.78,746
165.64,808
166.50,797
167.35,791
168.21,741
169.06,730
169.92,780
170.77,756
171.62,753
172.48,749
173.34,769
174.19,715
175.05,730
175.90,686
176.75,707
177.61,790
178.47,708
179.32,738
180.18,685
181.03,728
181.89,687
182.74,698
183.59,692
184.45,709
185.31,690
186.16,670
187.02,676
187.87,678
188.72,693
189.58,683
190.44,681
191.29,635
192.15,676
193.00,655
193.86,664
194.71,681
195.56,646
196.42,629
197.28,652
198.13,674
198.99,643
199.84,680
200.69,644
201.55,584
202.41,628
203.26,612
204.12,619
204.97,653
205.83,638
206.68,622
207.53,632
208.39,597
209.25,559
210.10,585
210.96,616
211.81,570
212.67,572
213.52,588
214.38,594
215.23,564
216.09,552
216.94,560
217.80,535
218.65,536
219.50,548
220.36,556
221.22,549
222.07,570
222.93,530
223.78,538
224.64,590
225.49,542
226.34,523
227.20,535
228.06,547
228.91,527
229.77,537
230.62,536
231.47,533
232.33,516
233.19,533
234.04,486
234.90,562
235.75,550
236.61,542
237.46,542
238.31,538
239.17,542
240.03,552
240.88,553
241.74,548
242.59,474
243.44,552
244.30,506
245.16,534
246.01,544
246.87,534
247.72,532
248.57,515
249.43,531
250.29,560
251.14,522
252.00,526
252.85,534
253.70,502
254.56,493
255.42,503
256.27,485
257.12,449
257.98,449
258.83,461
259.69,426
260.55,461
261.40,410
262.25,396
263.11,416
263.97,429
264.82,404
265.68,403
266.53,408
267.38,374
268.24,406
269.10,383
269.95,390
270.81,375
271.66,402
272.51,355
273.37,357
274.23,370
275.08,349
275.94,361
276.79,323
277.64,367
278.50,379
279.36,348
280.21,336
281.06,349
281.92,386
282.77,379
283.63,341
284.49,338
285.34,364
286.19,365
287.05,345
287.91,339
288.76,368
289.62,360
290.47,332
291.32,383
292.18,345
293.04,351
293.89,357
294.75,341
295.60,356
296.45,357
297.31,369
298.17,333
299.02,313
299.88,324
300.73,349
301.58,320
302.44,330
303.30,334
304.15,316
305.00,328
305.86,349
306.72,339
307.57,333
308.43,320
309.28,320
310.13,320
310.99,347
311.85,329
312.70,309
313.56,316
314.41,311
315.26,300
316.12,296
316.98,268
317.83,335
318.69,291
319.54,301
320.39,298
321.25,288
322.11,295
322.96,264
323.81,305
324.67,312
325.52,281
326.38,274
327.24,290
328.09,297
328.94,302
329.80,271
330.66,276
331.51,270
332.37,258
333.22,269
334.07,268
334.93,271
335.79,252
336.64,279
337.50,267
338.35,274
339.20,276
340.06,268
340.92,275
341.77,269
342.62,263
343.48,288
344.33,262
345.19,285
346.05,293
346.90,291
347.75,299
348.61,297
349.47,301
350.32,280
351.18,281
352.03,279
352.88,283
353.74,298
354.60,272
355.45,287
356.31,293
357.16,283
358.01,263
358.87,268
359.73,295
360.58,275
361.44,266
362.29,280
363.14,261
364.00,255
364.86,257
365.71,273
366.56,254
367.42,273
368.27,250
369.13,257
369.99,236
370.84,247
371.69,264
372.55,252
373.41,267
374.26,224
375.12,235
375.97,238
376.82,234
377.68,249
378.54,197
379.39,219
380.25,265
381.10,213
381.95,225
382.81,238
383.67,235
384.52,186
385.38,217
386.23,211
387.08,220
387.94,219
388.80,237
389.65,201
390.50,212
391.36,208
392.21,198
393.07,200
393.93,209
394.78,204
395.63,215
396.49,182
397.35,185
398.20,189
399.06,217
399.91,201
400.76,241
401.62,206
402.48,196
403.33,223
404.19,195
405.04,215
405.89,228
406.75,208
407.61,222
408.46,164
409.31,207
410.17,195
411.02,206
411.88,196
412.74,220
413.59,204
414.44,215
415.30,204
416.16,190
417.01,198
417.87,207
418.72,210
419.57,212
420.43,174
421.29,188
422.14,195
423.00,178
423.85,216
424.70,191
425.56,210
426.42,193
427.27,193
428.12,176
428.98,190
429.83,183
430.69,183
431.55,192
432.40,189
433.25,192
434.11,200
434.96,185
435.82,199
436.68,170
437.53,189
438.38,192
439.24,190
440.10,213
440.95,188
441.81,175
442.66,188
443.51,172
444.37,178
445.23,171
446.08,178
446.94,190
447.79,216
448.64,161
449.50,197
450.36,181
451.21,189
452.06,189
452.92,154
453.77,158
454.63,179
455.49,187
456.34,188
457.19,185
458.05,172
458.91,179
459.76,177
460.62,161
461.47,168
462.32,167
463.18,179
464.04,173
464.89,157
465.75,160
466.60,140
467.45,159
468.31,153
469.17,170
470.02,165
470.88,159
471.73,167
472.58,147
473.44,142
474.30,145
475.15,149
476.00,139
476.86,145
477.71,164
478.57,136
479.43,146
480.28,152
481.13,136
481.99,131
482.85,134
483.70,133
484.56,123
485.41,118
486.26,125
487.12,137
487.98,118
488.83,123
489.69,137
490.54,130
491.39,121
492.25,137
493.11,136
493.96,129
494.81,150
495.67,120
496.52,132
497.38,124
498.24,126
499.09,116
499.94,124
500.80,111
501.66,117
502.51,116
503.36,110
504.22,111
505.07,110
505.93,122
506.79,131
507.64,147
508.49,127
509.35,116
510.20,136
511.06,140
511.92,113
512.77,115
513.62,101
514.48,104
515.33,116
516.19,118
517.04,106
517.90,132
518.75,106
519.61,121
520.46,111
521.32,100
522.17,125
523.03,104
523.88,109
524.74,112
525.59,121
526.45,125
527.30,116
528.16,113
529.01,98
529.87,103
530.72,98
531.58,110
532.43,98
533.29,115
534.14,120
535.00,107
535.85,102
536.71,98
537.56,103
538.42,99
539.27,97
540.13,103
540.98,92
541.84,123
542.69,115
543.55,82
544.40,99
545.26,95
546.11,113
546.97,89
547.82,92
548.68,94
549.53,91
550.39,84
551.24,92
552.10,82
552.95,99
553.81,107
554.66,96
555.52,83
556.37,117
557.23,108
558.08,92
558.94,96
559.79,108
560.65,89
561.50,85
562.36,101
563.21,97
564.07,87
564.92,87
565.78,113
566.63,99
567.49,102
568.34,103
569.20,91
570.05,112
570.91,118
571.76,100
572.62,99
573.47,114
574.33,106
575.18,110
576.04,125
576.89,114
577.75,95
578.60,101
579.46,128
580.31,114
581.17,104
582.02,96
582.88,98
583.73,104
584.59,100
585.44,84
586.30,122
587.15,109
588.01,125
588.86,119
589.72,126
590.57,122
591.43,115
592.28,136
593.14,117
593.99,134
594.85,120
595.70,111
596.56,128
597.41,137
598.27,131
599.12,141
599.98,139
600.83,145
601.69,114
602.54,99
603.40,139
604.25,122
605.11,119
605.96,146
606.82,156
607.67,150
608.53,137
609.38,122
610.24,139
611.09,156
611.95,157
612.80,142
613.66,161
614.51,136
615.37,143
