E,I
-12.20,0
-11.34,0
-10.49,0
-9.63,0
-8.78,0
-7.92,0
-7.07,0
-6.21,0
-5.36,0
-4.50,0
-3.65,0
-2.79,3821
-1.94,577
-1.08,198
-0.23,193
0.62,197
1.48,195
2.34,191
3.19,211
4.05,208
4.90,173
5.75,187
6.61,188
7.46,197
8.32,174
9.18,194
10.03,189
10.89,202
11.74,217
12.59,225
13.45,208
14.30,242
15.16,216
16.02,214
16.87,208
17.73,223
18.58,236
19.43,207
20.29,225
21.14,239
22.00,263
22.86,266
23.71,284
24.57,287
25.42,301
26.28,343
27.13,387
27.99,422
28.84,444
29.69,538
30.55,570
31.40,646
32.26,655
33.11,657
33.97,670
34.83,639
35.68,601
36.53,533
37.39,490
38.25,439
39.10,435
39.95,383
40.81,420
41.67,401
42.52,418
43.38,398
44.23,425
45.08,404
45.94,441
46.80,492
47.65,491
48.50,499
49.36,578
50.22,526
51.07,557
51.92,584
52.78,620
53.63,628
54.49,629
55.34,643
56.20,649
57.05,699
57.91,691
58.77,722
59.62,777
60.47,780
61.33,825
62.19,815
63.04,898
63.89,891
64.75,951
65.60,1016
66.46,944
67.31,953
68.17,1020
69.02,1000
69.88,1068
70.73,1067
71.59,1096
72.44,1090
73.30,1101
74.16,1151
75.01,1218
75.86,1220
76.72,1228
77.57,1281
78.43,1212
79.28,1275
80.14,1279
80.99,1263
81.85,1285
82.70,1364
83.56,1377
84.41,1338
85.27,1258
86.12,1283
86.98,1308
87.83,1379
88.69,1303
89.55,1339
90.40,1307
91.25,1228
92.11,1286
92.96,1283
93.82,1306
94.67,1202
95.53,1259
96.38,1303
97.24,1259
98.09,1271
98.95,1286
99.80,1297
100.66,1210
101.52,1278
102.37,1261
103.22,1232
104.08,1191
104.93,1163
105.79,1224
106.64,1208
107.50,1120
108.35,1199
109.21,1170
110.06,1169
110.92,1203
111.77,1210
112.63,1130
113.48,1162
114.34,1186
115.19,1159
116.05,1069
116.90,1115
117.76,1136
118.61,1104
119.47,1100
120.33,1101
121.18,1061
122.03,1105
122.89,1086
123.74,1131
124.60,1083
125.45,1092
126.31,1060
127.17,1047
128.02,1039
128.88,1080
129.73,1044
130.59,1038
131.44,1054
132.30,1015
133.15,1007
134.00,1053
134.86,1009
135.72,1003
136.57,1015
137.43,1027
138.28,953
139.14,993
139.99,1010
140.84,950
141.70,990
142.56,995
143.41,925
144.27,966
145.12,894
145.97,934
146.83,959
147.69,891
148.54,907
149.40,902
150.25,873
151.11,912
151.96,878
152.81,837
153.67,858
154.53,900
155.38,915
156.24,854
157.09,851
157.95,817
158.80,784
159.66,888
160.51,848
161.37,837
162.22,807
163.08,772
163.93,762
164.78,871
165.64,752
166.50,698
167.35,822
168.21,839
169.06,775
169.92,792
170.77,764
171.62,732
172.48,712
173.34,754
174.19,726
175.05,748
175.90,743
176.75,683
177.61,720
178.47,708
179.32,644
180.18,687
181.03,721
181.89,671
182.74,705
183.59,722
184.45,638
185.31,729
186.16,723
187.02,732
187.87,648
188.72,650
189.58,664
190.44,718
191.29,639
192.15,632
193.00,624
193.86,672
194.71,645
195.56,673
196.42,594
197.28,601
198.13,618
198.99,642
199.84,583
200.69,609
201.55,608
202.41,611
203.26,567
204.12,606
204.97,613
205.83,616
206.68,602
207.53,609
208.39,549
209.25,553
210.10,585
210.96,598
211.81,579
212.67,589
213.52,585
214.38,525
215.23,543
216.09,544
216.94,565
217.80,537
218.65,558
219.50,522
220.36,534
221.22,555
222.07,514
222.93,540
223.78,525
224.64,521
225.49,525
226.34,528
227.20,530
228.06,471
228.91,507
229.77,513
230.62,517
231.47,532
232.33,486
233.19,533
234.04,525
234.90,548
235.75,496
236.61,554
237.46,517
238.31,509
239.17,522
240.03,535
240.88,534
241.74,527
242.59,513
243.44,550
244.30,559
245.16,540
246.01,530
246.87,529
247.72,506
248.57,561
249.43,506
250.29,505
251.14,528
252.00,505
252.85,513
253.70,504
254.56,482
255.42,519
256.27,445
257.12,467
257.98,455
258.83,474
259.69,456
260.55,433
261.40,442
262.25,430
263.11,416
263.97,442
264.82,427
265.68,400
266.53,389
267.38,372
268.24,389
269.10,355
269.95,382
270.81,381
271.66,349
272.51,345
273.37,405
274.23,335
275.08,392
275.94,328
276.79,386
277.64,356
278.50,386
279.36,340
280.21,338
281.06,335
281.92,358
282.77,335
283.63,333
284.49,331
285.34,355
286.19,323
287.05,311
287.91,340
288.76,324
289.62,339
290.47,336
291.32,345
292.18,328
293.04,343
293.89,323
294.75,312
295.60,355
296.45,331
297.31,326
298.17,317
299.02,314
299.88,311
300.73,339
301.58,322
302.44,315
303.30,314
304.15,370
305.00,315
305.86,298
306.72,320
307.57,307
308.43,316
309.28,310
310.13,304
310.99,312
311.85,294
312.70,316
313.56,324
314.41,296
315.26,305
316.12,284
316.98,317
317.83,289
318.69,265
319.54,304
320.39,277
321.25,250
322.11,284
322.96,307
323.81,273
324.67,271
325.52,280
326.38,250
327.24,259
328.09,281
328.94,281
329.80,248
330.66,258
331.51,277
332.37,267
333.22,247
334.07,270
334.93,279
335.79,264
336.64,262
337.50,286
338.35,280
339.20,275
340.06,262
340.92,293
341.77,277
342.62,267
343.48,252
344.33,250
345.19,260
346.05,239
346.90,272
347.75,240
348.61,284
349.47,246
350.32,250
351.18,262
352.03,277
352.88,261
353.74,282
354.60,263
355.45,261
356.31,281
357.16,269
358.01,269
358.87,281
359.73,272
360.58,263
361.44,268
362.29,286
363.14,285
364.00,270
364.86,243
365.71,265
366.56,252
367.42,259
368.27,233
369.13,233
369.99,251
370.84,243
371.69,248
372.55,248
373.41,236
374.26,244
375.12,237
375.97,211
376.82,258
377.68,208
378.54,235
379.39,199
380.25,203
381.10,246
381.95,241
382.81,214
383.67,227
384.52,238
385.38,204
386.23,187
387.08,229
387.94,193
388.80,231
389.65,184
390.50,217
391.36,182
392.21,169
393.07,217
393.93,211
394.78,198
395.63,180
396.49,183
397.35,193
398.20,177
399.06,191
399.91,176
400.76,190
401.62,163
402.48,192
403.33,197
404.19,181
405.04,199
405.89,208
406.75,179
407.61,170
408.46,167
409.31,166
410.17,187
411.02,191
411.88,198
412.74,201
413.59,175
414.44,177
415.30,182
416.16,192
417.01,186
417.87,176
418.72,223
419.57,176
420.43,188
421.29,158
422.14,203
423.00,178
423.85,164
424.70,203
425.56,187
426.42,175
427.27,177
428.12,199
428.98,194
429.83,167
430.69,174
431.55,179
432.40,169
433.25,182
434.11,163
434.96,182
435.82,166
436.68,185
437.53,175
438.38,157
439.24,184
440.10,156
440.95,182
441.81,168
442.66,206
443.51,171
444.37,161
445.23,181
446.08,197
446.94,130
447.79,171
448.64,168
449.50,185
450.36,176
451.21,177
452.06,179
452.92,173
453.77,170
454.63,183
455.49,167
456.34,168
457.19,180
458.05,158
458.91,185
459.76,166
460.62,167
461.47,176
462.32,173
463.18,136
464.04,158
464.89,166
465.75,142
466.60,135
467.45,156
468.31,168
469.17,178
470.02,147
470.88,138
471.73,142
472.58,159
473.44,135
474.30,142
475.15,159
476.00,164
476.86,164
477.71,139
478.57,134
479.43,161
480.28,132
481.13,144
481.99,131
482.85,128
483.70,129
484.56,138
485.41,153
486.26,136
487.12,130
487.98,129
488.83,127
489.69,145
490.54,150
491.39,132
492.25,114
493.11,129
493.96,101
494.81,144
495.67,126
496.52,119
497.38,159
498.24,140
499.09,126
499.94,122
500.80,121
501.66,121
502.51,128
503.36,116
504.22,123
505.07,118
505.93,130
506.79,112
507.64,127
508.49,124
509.35,126
510.20,109
511.06,117
511.92,116
512.77,114
513.62,108
514.48,115
515.33,120
516.19,128
517.04,118
517.90,125
518.75,110
519.61,104
520.46,122
521.32,116
522.17,94
523.03,97
523.88,104
524.74,100
525.59,114
526.45,98
527.30,97
528.16,131
529.01,127
529.87,93
530.72,138
531.58,103
532.43,114
533.29,106
534.14,89
535.00,105
535.85,85
536.71,102
537.56,93
538.42,100
539.27,107
540.13,91
540.98,87
541.84,97
542.69,116
543.55,95
544.40,96
545.26,110
546.11,111
546.97,113
547.82,77
548.68,101
549.53,92
550.39,101
551.24,96
552.10,97
552.95,77
553.81,83
554.66,87
555.52,74
556.37,107
557.23,97
558.08,90
558.94,84
559.79,91
560.65,80
561.50,111
562.36,101
563.21,94
564.07,92
564.92,86
565.78,91
566.63,110
567.49,87
568.34,87
569.20,80
570.05,105
570.91,97
571.76,119
572.62,100
573.47,100
574.33,104
575.18,110
576.04,92
576.89,82
577.75,118
578.60,121
579.46,108
580.31,118
581.17,113
582.02,108
582.88,113
583.73,120
584.59,98
585.44,102
586.30,102
587.15,125
588.01,99
588.86,108
589.72,120
590.57,98
591.43,138
592.28,113
593.14,111
593.99,127
594.85,129
595.70,112
596.56,125
597.41,114
598.27,117
599.12,102
599.98,119
600.83,116
601.69,139
602.54,122
603.40,123
604.25,140
605.11,121
605.96,131
606.82,131
607.67,125
608.53,132
609.38,138
610.24,121
611.09,118
611.95,154
612.80,159
613.66,113
614.51,167
615.37,135
